name,owner,url,stars,age_days,merged_pull_requests,total_releases,days_since_last_update,primary_language,total_issues,closed_issues,closed_issues_percentage
p3c,alibaba,https://github.com/alibaba/p3c,30724,2981,62,0,0,Kotlin,858,697,81.24
kafka,apache,https://github.com/apache/kafka,30713,5120,11805,0,0,Java,0,0,0
editor.js,codex-team,https://github.com/codex-team/editor.js,30711,3553,863,102,0,TypeScript,1520,921,60.59
fish-shell,fish-shell,https://github.com/fish-shell/fish-shell,30700,4851,2146,48,0,Rust,7663,7186,93.78
interactive-coding-challenges,donnemartin,https://github.com/donnemartin/interactive-coding-challenges,30682,3767,176,0,0,Python,69,32,46.38
Sortable,SortableJS,https://github.com/SortableJS/Sortable,30668,4263,248,30,0,JavaScript,1817,1344,73.97
awesome-sysadmin,awesome-foss,https://github.com/awesome-foss/awesome-sysadmin,30659,3894,329,0,0,Unknown,102,88,86.27
headscale,juanfont,https://github.com/juanfont/headscale,30630,1887,1053,124,0,Go,1092,998,91.39
textual,Textualize,https://github.com/Textualize/textual,30594,1596,2177,185,0,Python,2258,2074,91.85
comprehensive-rust,google,https://github.com/google/comprehensive-rust,30579,974,2173,0,0,Rust,345,235,68.12
spring-boot-examples,ityouknow,https://github.com/ityouknow/spring-boot-examples,30576,3211,7,0,0,Java,109,99,90.83
k3s,k3s-io,https://github.com/k3s-io/k3s,30565,2639,4067,885,0,Go,6939,6827,98.39
calculator,microsoft,https://github.com/microsoft/calculator,30554,2397,899,0,0,C++,1113,717,64.42
server,nextcloud,https://github.com/nextcloud/server,30527,3367,28162,349,0,PHP,20208,17940,88.78
UTM,utmapp,https://github.com/utmapp/UTM,30522,2323,266,122,0,Swift,3422,2538,74.17
influxdb,influxdata,https://github.com/influxdata/influxdb,30508,4347,10606,93,0,Rust,14013,11957,85.33
symfony,symfony,https://github.com/symfony/symfony,30502,5708,24288,555,0,PHP,21234,20677,97.38
jsPDF,parallax,https://github.com/parallax/jsPDF,30492,5737,718,35,0,JavaScript,2559,2444,95.51
diffusers,huggingface,https://github.com/huggingface/diffusers,30416,1179,4997,86,0,Python,4974,4413,88.72
Data-Science-For-Beginners,microsoft,https://github.com/microsoft/Data-Science-For-Beginners,30409,1632,308,0,0,Jupyter Notebook,119,95,79.83
CLIP,openai,https://github.com/openai/CLIP,30387,1709,28,0,0,Jupyter Notebook,435,193,44.37
weekly,ascoders,https://github.com/ascoders/weekly,30370,3076,136,193,0,JavaScript,366,363,99.18
gkd,gkd-kit,https://github.com/gkd-kit/gkd,30365,779,6,53,0,Kotlin,661,648,98.03
webtorrent,webtorrent,https://github.com/webtorrent/webtorrent,30363,4328,963,228,0,JavaScript,1663,1598,96.09
Trilium,TriliumNext,https://github.com/TriliumNext/Trilium,30357,3012,622,334,0,TypeScript,4576,3491,76.29
rocksdb,facebook,https://github.com/facebook/rocksdb,30338,4647,609,206,0,C++,3406,2636,77.39
fabric.js,fabricjs,https://github.com/fabricjs/fabric.js,30334,5551,2343,174,0,TypeScript,6184,5761,93.16
medusa,medusajs,https://github.com/medusajs/medusa,30331,2042,7463,128,0,TypeScript,3266,3168,97.0
layui,layui,https://github.com/layui/layui,30325,3621,590,158,0,JavaScript,1365,1298,95.09
NeteaseCloudMusicApi,Binaryify,https://github.com/Binaryify/NeteaseCloudMusicApi,30321,3347,292,0,0,Unknown,1337,1190,89.01
lux,iawia002,https://github.com/iawia002/lux,30318,2735,300,86,0,Go,1059,540,50.99
umami,umami-software,https://github.com/umami-software/umami,30294,1861,799,99,0,TypeScript,1836,1763,96.02
tqdm,tqdm,https://github.com/tqdm/tqdm,30293,3732,287,131,0,Python,1026,587,57.21
exo,exo-explore,https://github.com/exo-explore/exo,30291,423,207,12,0,Python,506,146,28.85
docsify,docsifyjs,https://github.com/docsifyjs/docsify,30269,3196,731,15,0,JavaScript,1287,1199,93.16
GPTs,linexjlin,https://github.com/linexjlin/GPTs,30267,649,42,0,0,Unknown,28,21,75.0
alpine,alpinejs,https://github.com/alpinejs/alpine,30232,2093,657,137,0,HTML,612,612,100.0
HEAD,joshbuchea,https://github.com/joshbuchea/HEAD,30221,3409,86,0,0,Unknown,93,73,78.49
numpy,numpy,https://github.com/numpy/numpy,30202,5455,13093,132,0,Python,13494,11394,84.44
AI-Expert-Roadmap,AMAI-GmbH,https://github.com/AMAI-GmbH/AI-Expert-Roadmap,30195,1761,13,0,0,JavaScript,66,46,69.7
roop,s0md3v,https://github.com/s0md3v/roop,30143,816,80,6,0,Python,0,0,0
dioxus,DioxusLabs,https://github.com/DioxusLabs/dioxus,30138,1679,1768,25,0,Rust,2059,1630,79.16
sequelize,sequelize,https://github.com/sequelize/sequelize,30130,5509,4961,487,0,TypeScript,10402,9511,91.43
stanford_alpaca,tatsu-lab,https://github.com/tatsu-lab/stanford_alpaca,30126,894,5,0,0,Python,268,98,36.57
CheatSheetSeries,OWASP,https://github.com/OWASP/CheatSheetSeries,30123,2435,1076,0,0,Python,528,487,92.23
